assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id
GCF_010692885.1,PRJNA224116,SAMN14053718,na,na,60847,60847,Halogeometricum borinquense,strain=wsp4,na,latest,Complete Genome,Major,Full,18/02/2020,ASM1069288v1,CSIR-Institue of Microbial Technology,GCA_010692885.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/692/885/GCF_010692885.1_ASM1069288v1,na,na,na,haploid,archaea,3994321,3994321,59.5,1,1,1,NCBI RefSeq,GCF_010692885.1-RS_2024_05_06,06/05/2024,4048,3927,57,na
GCF_004799645.1,PRJNA224116,SAMN09711300,na,reference genome,61858,61858,Natronorubrum bangense,strain=JCM 10635,na,latest,Complete Genome,Major,Full,18/04/2019,ASM479964v1,Wuhan University,GCA_004799645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/799/645/GCF_004799645.1_ASM479964v1,na,assembly from type material,na,haploid,archaea,4382412,4382412,60.5,5,5,5,NCBI RefSeq,GCF_004799645.1-RS_2024_05_12,12/05/2024,4347,4180,83,30975999
GCF_000006805.1,PRJNA224116,SAMN02604216,na,na,64091,2242,Halobacterium salinarum NRC-1,strain=NRC-1; ATCC 700922,na,latest,Complete Genome,Major,Full,09/01/2001,ASM680v1,"University of Massachusetts-Amherst, University of Washington",GCA_000006805.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/805/GCF_000006805.1_ASM680v1,na,na,na,haploid,archaea,2571010,2571010,66,3,3,3,NCBI RefSeq,GCF_000006805.1-RS_2024_06_16,16/06/2024,2749,2648,52,1864501;2050644;3448465;1398080;2552415;8002589;8335077;8335618;8423144;9847077;11016950
GCF_000009965.1,PRJNA224116,SAMD00061071,na,reference genome,69014,311400,Thermococcus kodakarensis KOD1,strain=KOD1,na,latest,Complete Genome,Major,Full,05/01/2005,ASM996v1,"Kyoto University, Japan",GCA_000009965.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/965/GCF_000009965.1_ASM996v1,na,assembly from type material,na,haploid,archaea,2088737,2088737,52,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),17/02/2024,2359,2292,53,15710748
GCF_005890195.1,PRJNA224116,SAMN11840646,na,reference genome,69527,69527,Natrinema pallidum,strain=BOL6-1,na,latest,Complete Genome,Major,Full,30/05/2019,ASM589019v1,University of Maryland,GCA_005890195.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/890/195/GCF_005890195.1_ASM589019v1,na,na,na,haploid,archaea,3778093,3778093,64.5,3,3,3,NCBI RefSeq,GCF_005890195.1-RS_2024_05_06,06/05/2024,3841,3705,63,31416876
GCF_042851265.1,PRJNA224116,SAMD00296839,na,na,69656,69656,Sulfurisphaera ohwakuensis,strain=YN1HA,na,latest,Complete Genome,Major,Full,13/10/2024,ASM4285126v1,"Contact:Hiroyuki Sakai Soka University, Department of Science and Engineering for Sustainable Innovation; 1-236 Tangi-machi, Hachioji, Tokyo 192-8577, Japan",GCA_042851265.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/851/265/GCF_042851265.1_ASM4285126v1,na,na,na,haploid,archaea,2761125,2761125,32.5,1,1,1,NCBI RefSeq,GCF_042851265.1-RS_2024_10_11,11/10/2024,2989,2866,51,na
GCF_000011105.1,PRJNA224116,SAMD00061090,na,reference genome,70601,53953,Pyrococcus horikoshii OT3,strain=OT3,na,latest,Complete Genome,Major,Full,11/05/2004,ASM1110v1,NITE,GCA_000011105.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/105/GCF_000011105.1_ASM1110v1,na,assembly from type material,na,haploid,archaea,1738505,1738505,42,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),11/02/2024,1940,1853,70,9679194
GCF_002214385.1,PRJNA224116,SAMN03324159,na,reference genome,71997,71997,Thermococcus gorgonarius,strain=W-12,na,latest,Complete Genome,Major,Full,05/07/2017,ASM221438v1,Ecole Normale Superieure de Lyon,GCA_002214385.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/385/GCF_002214385.1_ASM221438v1,na,assembly from type material,na,haploid,archaea,1674122,1674122,51.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),05/03/2024,1905,1841,52,na
GCF_002214485.1,PRJNA224116,SAMN03324161,na,reference genome,71998,71998,Thermococcus pacificus,strain=P-4,na,latest,Complete Genome,Major,Full,05/07/2017,ASM221448v1,Ecole Normale Superieure de Lyon,GCA_002214485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/485/GCF_002214485.1_ASM221448v1,na,assembly from type material,na,haploid,archaea,1785673,1785673,54,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),05/03/2024,2001,1931,52,na
GCF_002214505.1,PRJNA224116,SAMN03324165,na,reference genome,72803,72803,Thermococcus siculi,strain=RG-20,na,latest,Complete Genome,Major,Full,05/07/2017,ASM221450v1,Ecole Normale Superieure de Lyon,GCA_002214505.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/505/GCF_002214505.1_ASM221450v1,na,assembly from type material,na,haploid,archaea,2029167,2029167,55,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),05/03/2024,2191,2132,51,na
GCF_031201105.1,PRJNA224116,SAMN37179807,na,na,74969,74969,Ferroplasma acidiphilum,na,BR_01,latest,Complete Genome,Major,Full,06/09/2023,ASM3120110v1,Research Center of Biotechnology,GCA_031201105.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/031/201/105/GCF_031201105.1_ASM3120110v1,derived from metagenome,na,na,haploid,archaea,1844541,1844541,36.5,1,1,1,NCBI RefSeq,GCF_031201105.1-RS_2024_09_08,08/09/2024,1933,1858,51,na
GCF_000145295.1,PRJNA224116,SAMN02603260,na,reference genome,79929,145263,Methanothermobacter marburgensis str. Marburg,strain=Marburg,na,latest,Complete Genome,Major,Full,11/08/2010,ASM14529v1,Georg-August-University Goettingen,GCA_000145295.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/145/295/GCF_000145295.1_ASM14529v1,na,assembly from type material,na,haploid,archaea,1639135,1639135,48.5,2,2,2,NCBI RefSeq,GCF_000145295.1-RS_2024_03_27,27/03/2024,1784,1721,49,20802048
GCF_900036045.1,PRJNA224116,SAMEA3857231,na,na,83986,83986,Methanoculleus bourgensis,na,Methanoculleus sp MAB1,latest,Complete Genome,Major,Full,15/02/2016,Methanoculleus sp MAB1,SLU,GCA_900036045.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/036/045/GCF_900036045.1_Methanoculleus_sp_MAB1,na,na,na,haploid,archaea,2859299,2859299,60.5,1,1,1,NCBI RefSeq,GCF_900036045.1-RS_2024_03_21,21/03/2024,2977,2737,50,na
GCF_005576615.1,PRJNA224116,SAMN11637627,na,na,88724,88724,Natrinema versiforme,strain=BOL5-4,na,latest,Complete Genome,Major,Full,22/05/2019,ASM557661v1,University of Maryland,GCA_005576615.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/576/615/GCF_005576615.1_ASM557661v1,na,na,na,haploid,archaea,4674473,4674473,63.5,5,5,5,NCBI RefSeq,GCF_005576615.1-RS_2024_05_06,06/05/2024,4679,4476,75,31416876
GCF_020844815.1,PRJNA224116,SAMN18737513,na,na,90426,90426,Methanothrix sp.,na,MAG 281,latest,Chromosome,Major,Full,12/11/2021,ASM2084481v1,DOE Joint Genome Institute,GCA_020844815.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/844/815/GCF_020844815.1_ASM2084481v1,derived from metagenome,na,na,haploid,archaea,2383615,2359115,52.5,1,1,1,NCBI RefSeq,GCF_020844815.1-RS_2024_03_24,24/03/2024,2487,2377,47,na
GCF_024022995.1,PRJNA224116,SAMN29154529,na,reference genome,110163,110163,Thermococcus aggregans,strain=TY,na,latest,Chromosome,Major,Full,29/06/2022,ASM2402299v1,Korea Institute of Ocean Science and Technology,GCA_024022995.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/022/995/GCF_024022995.1_ASM2402299v1,na,assembly from type material,na,haploid,archaea,1889207,1889107,43.5,1,1,1,NCBI RefSeq,GCF_024022995.1-RS_2024_07_15,15/07/2024,2091,2005,52,9828419
