"Species_Accession","Species","GC_core","The_mean_GC_of_the_first_10_codons","Difference_between_core_and_first_10_codons_GC","Linear_Regression_slope","Difference_First_and_second_codons_GC","Maximum_difference_to_core","Where_max_difference","Max_Deviation_From_Core_GC"
"GCF_014962245.1","Thermosphaera_aggregans","0.485139318885449","0.446421845574388","0.038717473311061","0.00133928056236903","0.0407250470809788","0.0543483584334719","6","-0.0543483584334719"
"GCF_036323395.1","Pyrodictium_abyssi","0.598161547944471","0.587489539748956","0.0106720081955155","0.000158669894584446","0.0450488145048838","0.0534423572159229","2","0.0534423572159229"
"GCF_900012635.1","Thermococcus_chitonophagus","0.454736118274024","0.427318640955006","0.0274174773190187","0.00119695364424171","-0.00826446280991805","0.0436556162844307","4","-0.0436556162844307"
"GCF_001433455.1","Thermococcus_barophilus","0.42233129416228","0.394928363129201","0.0274029310330786","0.00109183702799641","-0.00760745530620027","0.0415781560869642","5","-0.0415781560869642"
"GCF_004803735.1","Halomicrobium_mukohataei","0.668321433883683","0.626995933749882","0.0413255001338004","0.00226548325590093","-0.0348110681344882","0.103608550813164","2","-0.103608550813164"
"GCF_002813695.1","Methanobacterium_subterraneum","0.423648274124465","0.353281271407044","0.0703670027174207","0.00317761416405242","0.00411015207562632","0.104152452779072","3","-0.104152452779072"
"GCF_010692885.1","Halogeometricum_borinquense","0.6106842435656","0.581266182243382","0.0294180613222171","0.00186878252237284","-0.0226342604192759","0.0766493316805218","2","-0.0766493316805218"
"GCF_004799645.1","Natronorubrum_bangense","0.61894872697407","0.57975632614808","0.0391924008259906","0.00213808158020434","-0.0269447047797564","0.0922383239750062","2","-0.0922383239750062"
"GCF_000006805.1","Halobacterium_salinarum_NRC-1","0.673023886317955","0.630604938271609","0.0424189480463456","0.00215458910834139","-0.0369135802469185","0.0953695653303007","2","-0.0953695653303007"
"GCF_000009965.1","Thermococcus_kodakarensis_KOD1","0.53015180878553","0.493538594969644","0.0366132138158854","0.00167844168809974","0.000867302688637106","0.0645548154348502","4","-0.0645548154348502"
"GCF_005890195.1","Natrinema_pallidum","0.652383345057448","0.614865819209042","0.0375175258484062","0.00224317054944435","-0.0455508474576297","0.100476565396428","2","-0.100476565396428"
"GCF_042851265.1","Sulfurisphaera_ohwakuensis","0.33319060594265","0.319162695711371","0.0140279102312784","0.000520354293635435","0.00692080780576415","0.0348016792351358","5","-0.0348016792351358"
"GCF_000011105.1","Pyrococcus_horikoshii_OT3","0.422601977345643","0.400088983804948","0.0225129935406942","0.000754600826529982","0.00106780565937037","0.038903810412024","7","-0.038903810412024"
"GCF_002214385.1","Thermococcus_gorgonarius","0.524861027392673","0.486231101511879","0.0386299258807938","0.00156656542740029","0.00377969762419084","0.0633779460391801","5","-0.0633779460391801"
"GCF_002214485.1","Thermococcus_pacificus","0.555731922398589","0.508098891730604","0.047633030667985","0.00203907816824665","0.0161977834612097","0.0750840110601416","4","-0.0750840110601416"
"GCF_002214505.1","Thermococcus_siculi","0.561853374443303","0.515437286025521","0.0464160884177819","0.00209068354680556","0.0208527855586678","0.0761702122895533","4","-0.0761702122895533"
"GCF_031201105.1","Ferroplasma_acidiphilum","0.380585567560357","0.329507616011336","0.0510779515490218","0.00252622333455842","0.0155862557562882","0.0897602044714459","4","-0.0897602044714459"
"GCF_000145295.1","Methanothermobacter_marburgensis_str._Marburg","0.504473850031506","0.425489067894132","0.078984782137374","0.00352920359895954","-0.0381664748753372","0.129330006533232","2","-0.129330006533232"
"GCF_900036045.1","Methanoculleus_bourgensis","0.619427863996109","0.551374687571008","0.0680531764251008","0.00342016532191774","-0.0212451715519225","0.102954335252643","2","-0.102954335252643"
"GCF_005576615.1","Natrinema_versiforme","0.648030453492221","0.606147600405972","0.0418828530862491","0.00237104668784668","-0.03247788893722","0.099023638935167","2","-0.099023638935167"
"GCF_020844815.1","Methanothrix_sp.","0.539666875522139","0.472786885245902","0.0668799902762368","0.00339591907963431","-0.0159836065573755","0.111661411041262","4","-0.111661411041262"
"GCF_024022995.1","Thermococcus_aggregans","0.4394050455073","0.40235409514468","0.0370509503626197","0.00151872390577128","-0.00359653424881606","0.0563741480085249","4","-0.0563741480085249"
"GCF_001006045.1","Geoglobus_ahangari","0.544346441259341","0.498937908496731","0.0454085327626098","0.00174519286477665","-0.0191176470588236","0.0670588595599957","5","-0.0670588595599957"
"GCF_900095295.1","Methanobacterium_congolense","0.420126865283627","0.35118793569498","0.0689389295886473","0.00290901620622573","-1.66533453693773e-15","0.101731645479955","2","-0.101731645479955"
"GCF_019669965.1","Methanoculleus_chikugoensis","0.635581328751432","0.556512226512228","0.0790691022392043","0.00383618546395967","-0.0276705276705266","0.12477051794062","2","-0.12477051794062"
"GCF_031165565.1","Natrinema_thermotolerans","0.662906718411654","0.62418054014058","0.0387261782710738","0.00223523143198549","-0.0495745467998505","0.108855664027635","2","-0.108855664027635"
"GCF_002214525.1","Thermococcus_sp._P6","0.561945379723158","0.509783281733746","0.0521620979894117","0.00246241924350647","0.00536635706914235","0.0789732435002464","4","-0.0789732435002464"
"GCF_017357525.1","Methanofollis_aquaemaris","0.614506974506975","0.531878930817611","0.0826280436893636","0.00417831659344883","-0.0419287211740054","0.145167351865466","2","-0.145167351865466"
"GCF_025397995.1","Methanothermobacter_wolfeii","0.504520464263897","0.422228270731266","0.0822921935326318","0.00378347549718694","-0.0401016149519149","0.142517198069014","2","-0.142517198069014"
"GCF_027555045.1","Methanothermobacter_thermautotrophicus","0.514718875502008","0.427415525114156","0.0873033503878521","0.00394792287443852","-0.0420091324200931","0.147230291027122","2","-0.147230291027122"
"GCF_027555065.1","Methanothermobacter_marburgensis","0.504666946543521","0.425819436457735","0.0788475100857857","0.00352106408866477","-0.0345025876940782","0.127055292336122","2","-0.127055292336122"
"GCF_000265525.1","Thermococcus_cleftensis","0.570605306799337","0.526026074360212","0.044579232439125","0.00213134788854612","0.00160952840817641","0.0721343587871056","4","-0.0721343587871056"
"GCF_963665055.1","uncultured_Methanobacterium_sp.","0.409760773526715","0.343307353439514","0.0664534200872012","0.00311765529225864","0.0203320908166724","0.115736149105612","3","-0.115736149105612"
"GCF_963667985.1","uncultured_Methanocorpusculum_sp.","0.515147928994083","0.449089301503095","0.0660586274909881","0.00307226828492311","0.00459770114942504","0.105068353397265","3","-0.105068353397265"
"GCF_000007225.1","Pyrobaculum_aerophilum_str._IM2","0.524880311190904","0.485999484801649","0.0388808263892551","0.00192974088690643","0.0423750643997939","0.078589739320734","3","-0.078589739320734"
"GCF_022870485.1","Halococcus_dombrowskii","0.634053119597674","0.610599232181608","0.0234538874160664","0.00176237419649636","-0.020447337673177","0.0631133766499162","2","-0.0631133766499162"
"GCF_963678545.1","uncultured_Methanomethylovorans_sp.","0.411518386714116","0.365654374548085","0.0458640121660314","0.00250266904198895","0.0140481355231891","0.0707478051626209","4","-0.0707478051626209"
"GCF_000007305.1","Pyrococcus_furiosus_DSM_3638","0.409473312124426","0.384399551066219","0.0250737610582066","0.00120847969296873","-0.0118646785313445","0.0450352810197266","6","-0.0450352810197266"
"GCF_000008645.1","Methanothermobacter_thermautotrophicus_str._Delta_H","0.515370813397129","0.433099730458222","0.0822710829389074","0.00376242225191973","-0.0472596585804144","0.141965602256068","2","-0.141965602256068"
"GCF_002214565.1","Thermococcus_radiotolerans","0.569918554188217","0.512853598014887","0.0570649561733297","0.00218282481071352","0.00446650124069436","0.0878672721369346","4","-0.0878672721369346"
"GCF_000007345.1","Methanosarcina_acetivorans_C2A","0.454825095365636","0.387214799588897","0.067610295776739","0.00317884955606755","-0.00870161014045956","0.100046061449915","4","-0.100046061449915"
"GCF_000007185.1","Methanopyrus_kandleri_AV19","0.613023790213571","0.595840297121631","0.01718349309194","0.000813070879351992","0.00575673166202517","0.0299225831569364","6","-0.0299225831569364"
"GCF_000007065.1","Methanosarcina_mazei_Go1","0.446162581968715","0.382709964240842","0.0634526177278722","0.00306003237911042","-0.00840823427080295","0.0945630845298435","4","-0.0945630845298435"
"GCF_946300405.1","Thermococcus_nautili","0.55356418655436","0.51559298245614","0.03797120409822","0.00154621226229698","-0.00561403508771874","0.065283484799974","5","-0.065283484799974"
"GCF_025914035.1","Methanoculleus_submarinus","0.63910792512943","0.552598639455783","0.0865092856736475","0.00433163804804263","-0.0340136054421786","0.138699761864125","2","-0.138699761864125"
"GCF_036967215.1","Sulfolobus_tengchongensis","0.347522673457535","0.334064748201442","0.013457925256093","0.000559718064366217","0.0139088729016782","0.0324147597884675","6","-0.0324147597884675"
"GCF_000970205.1","Methanosarcina_mazei_S-6","0.445453230646852","0.381893939393939","0.0635592912529137","0.00306403276655529","-0.00426136363636381","0.0944115639801876","4","-0.0944115639801876"
"GCF_963665675.1","uncultured_Methanolobus_sp.","0.419378564405113","0.362001053185889","0.0573775112192245","0.00301750688417131","0.00737230121116339","0.0935228508716709","4","-0.0935228508716709"
"GCF_021233435.1","Halobacterium_noricense","0.659818535320804","0.632124155003338","0.0276943803174652","0.00191907092591335","-0.0313243835094769","0.0808411003022316","2","-0.0808411003022316"
"GCF_000008665.1","Archaeoglobus_fulgidus_DSM_4304","0.495954964593204","0.458213906581741","0.0377410580114625","0.00149471602305855","-0.00145966029724032","0.059118446546495","5","-0.059118446546495"
"GCF_024508235.1","Halococcus_qingdaonensis","0.658149916025811","0.633826003364582","0.0243239126612288","0.00198585235396556","-0.0120163422254271","0.0712717617359719","2","-0.0712717617359719"
"GCF_000404165.1","Methanobrevibacter_sp._AbM4","0.332456140350877","0.275410798122064","0.0570453422288132","0.0022702518803079","0.0365805946791862","0.0920414298657461","4","-0.0920414298657461"
"GCF_001477655.1","Methanobrevibacter_millerae","0.337916126242975","0.274016874016874","0.0638992522261003","0.00294338216169237","0.0145860145860147","0.094672882999732","3","-0.094672882999732"
"GCF_000091665.1","Methanocaldococcus_jannaschii_DSM_2661","0.318825665859564","0.292839240959541","0.0259864249000235","0.000995708418465377","0.0155746509129981","0.0427784048498988","6","-0.0427784048498988"
"GCF_000151205.2","Thermococcus_sp._AM4","0.557413690957074","0.517356828193833","0.0400568627632416","0.00164566258888907","0.0127753303964779","0.0607910771538431","4","-0.0607910771538431"
"GCF_000013725.1","Methanococcoides_burtonii_DSM_6242","0.42371549268101","0.363793995859215","0.0599214968217946","0.00311844318846923","0.0243271221532098","0.101510523736908","4","-0.101510523736908"
"GCF_963668415.1","uncultured_Methanospirillum_sp.","0.486642771804062","0.441155899134915","0.0454868726691473","0.00221053990519176","-0.0301859009755217","0.0860353725771184","2","-0.0860353725771184"
"GCF_000011585.1","Methanococcus_maripaludis_S2","0.339811320754717","0.30834762721555","0.0314636935391665","0.00192678301010578","0.00343053173241836","0.0644158566800097","3","-0.0644158566800097"
"GCF_000591055.1","Natronomonas_moolapensis_8.8.11","0.657460317460317","0.627248677248684","0.0302116402116338","0.00189113441174703","-0.0179434092477604","0.0843064182194578","2","-0.0843064182194578"
"GCF_000011125.1","Aeropyrum_pernix_K1","0.571894166310084","0.559231069476969","0.0126630968331152","0.000108962740241075","0.0419594067135054","0.043640572175471","2","0.043640572175471"
"GCF_000011085.1","Haloarcula_marismortui_ATCC_43049","0.625402189296133","0.59096695038724","0.0344352389088923","0.00195085881467088","-0.0233110957748638","0.0838026187110524","2","-0.0838026187110524"
"GCF_000195935.2","Pyrococcus_abyssi_GE5","0.451597822606468","0.429008163974293","0.0225896586321751","0.000944510046992463","0.000521104742052914","0.0404461811265293","4","-0.0404461811265293"
"GCF_000007005.1","Saccharolobus_solfataricus_P2","0.366678558687121","0.349174292626487","0.0175042660606335","0.00045863395566478","0.00841485221415644","0.038499322334957","5","-0.038499322334957"
"GCF_000011205.1","Sulfurisphaera_tokodaii_str._7","0.334738384622015","0.321367521367524","0.013370863254491","0.000467056661120293","0.0136077372919474","0.0337937152562899","5","-0.0337937152562899"
"GCF_000195915.1","Thermoplasma_acidophilum_DSM_1728","0.474758197688134","0.426297726297727","0.0484604713904074","0.00211095419509537","-0.00429000429000359","0.0852258081557438","4","-0.0852258081557438"
"GCF_000011185.1","Thermoplasma_volcanium_GSS1","0.411658456486043","0.38189708617483","0.029761370311213","0.00141819939928794","0.0132258731142794","0.0553864994701301","5","-0.0553864994701301"
"GCF_002214545.1","Thermococcus_thioreducens","0.544282396154054","0.503708513708513","0.0405738824455407","0.00170186434790422","-0.000865800865801347","0.0725652244368822","4","-0.0725652244368822"
"GCF_002116695.1","Acidianus_manzaensis","0.312391275257594","0.3025538124772","0.00983746278039394","0.000544287004049108","0.0065669463699391","0.0298909712322964","5","-0.0298909712322964"
"GCF_001563245.1","Methanobrevibacter_olleyae","0.307814992025518","0.261411010154996","0.0464039818705224","0.00216841074452864","0.0381257794405843","0.084761366513316","3","-0.084761366513316"
"GCF_019633745.1","Methanofollis_formosanus","0.625418824956834","0.541993153290225","0.0834256716666087","0.00409746767932642","-0.0524914416127831","0.14792421357101","2","-0.14792421357101"
"GCF_024730625.1","Haloferax_larsenii","0.635299401197605","0.597445516255809","0.0378538849417959","0.00222644733513733","-0.0430510896748841","0.099840308664554","2","-0.099840308664554"
"GCF_000011005.1","Methanocella_paludicola_SANAE","0.580725952813067","0.498873578302713","0.0818523745103541","0.00397910892574943","0.0273403324584431","0.133656836452611","4","-0.133656836452611"
"GCF_000025685.1","Haloferax_volcanii_DS2","0.668584619198116","0.626074665336326","0.0425099538617897","0.00253897100383137","-0.0263573626008144","0.101776603899202","2","-0.101776603899202"
"GCF_028471785.1","Thermococcus_kodakarensis","0.530063137445362","0.493443334780721","0.0366198026646412","0.00169443347846709","-0.00376320741062453","0.062846463541758","4","-0.062846463541758"
"GCF_000013445.1","Methanospirillum_hungatei_JF-1","0.464757872846108","0.419974404410316","0.0447834684357919","0.00209002800875224","-0.0363260484347324","0.0899793731414432","2","-0.0899793731414432"
"GCF_000012285.1","Sulfolobus_acidocaldarius_DSM_639","0.376500821279076","0.35041630778065","0.0260845134984259","0.000864940317864647","0.0120585701981047","0.0430239335386208","6","-0.0430239335386208"
"GCF_000152265.2","Ferroplasma_acidarmanus_Fer1","0.378632977000324","0.326375151830644","0.0522578251696803","0.00262083546818036","0.0154433454797849","0.0924972837849854","4","-0.0924972837849854"
"GCF_004126515.1","Halorubrum_ezzemoulense","0.67799424995772","0.644754676063977","0.0332395738937431","0.00216582966360446","-0.0291858678955464","0.0950901205640214","2","-0.0950901205640214"
"GCF_000012545.1","Methanosphaera_stadtmanae_DSM_3091","0.29838798458756","0.250759033568526","0.0476289510190341","0.00211683086552093","0.00513149454778672","0.0781613435783667","4","-0.0781613435783667"
"GCF_000016385.1","Pyrobaculum_arsenaticum_DSM_13514","0.566353236169879","0.518356902356902","0.0479963338129771","0.00217112094882669","0.016161616161615","0.0780030678197122","5","-0.0780030678197122"
"GCF_000211475.1","Pyrococcus_sp._NA2","0.430620012277471","0.408237066800604","0.0223829454768665","0.000906264250983919","0.00368324125230157","0.0406986997042229","6","-0.0406986997042229"
"GCF_000026045.1","Natronomonas_pharaonis_DSM_2160","0.641752850702731","0.619591261451732","0.0221615892509992","0.00156956046849308","-0.0276015973690426","0.0695188831199238","2","-0.0695188831199238"
"GCF_009392895.1","Natronorubrum_aibiense","0.628348634651601","0.587739644970415","0.0406089896811853","0.00222053852221456","-0.03076923076923","0.0931218101940039","2","-0.0931218101940039"
"GCF_000014945.1","Methanothrix_thermoacetophila_PT","0.548175532279044","0.49971783295711","0.048457699321934","0.00285488327961826","-0.00188111361926191","0.0846691364927384","4","-0.0846691364927384"
"GCF_000063445.1","Methanocella_arvoryzae_MRE50","0.57187134502924","0.494387755102041","0.0774835899271992","0.00376399867958848","-0.014774659863947","0.123635800811554","4","-0.123635800811554"
"GCF_000226975.2","Halobiforma_lacisalsi_AJ5","0.665525715288748","0.625269706276082","0.0402560090126666","0.00224319105140055","-0.0376407591148888","0.0995756404797071","2","-0.0995756404797071"
"GCF_000009185.1","Haloquadratum_walsbyi_DSM_16790","0.48991794189399","0.490172274251359","-0.000254332357369602","0.000802402781610961","0.00358422939067821","0.0281304520107646","3","-0.0281304520107646"
"GCF_000015825.1","Methanoculleus_marisnigri_JR1","0.639049740163326","0.551737660581475","0.0873120795818513","0.00435827826677664","-0.0312373225152133","0.136683276336416","2","-0.136683276336416"
"GCF_000015225.1","Thermofilum_pendens_Hrk_5","0.586515641855448","0.550735930735929","0.0357797111195188","0.00137937770191825","0.0403463203463214","0.0743078496476575","5","-0.0743078496476575"
"GCF_017352095.1","Natrinema_longum","0.655039745627981","0.614825280210986","0.0402144654169945","0.00229153995525912","-0.0391824432513924","0.10431920310184","2","-0.10431920310184"
"GCF_000019605.1","Candidatus_Korarchaeum_cryptofilum_OPF8","0.494241955673367","0.492138177486599","0.0021037781867681","-0.000189537889550877","0.0246178280722648","0.0219383103580001","2","0.0219383103580001"
"GCF_000015205.1","Pyrobaculum_islandicum_DSM_4184","0.500684973025399","0.45998445998446","0.0407005130409384","0.00186762522413506","0.0368298368298372","0.0767533490937743","5","-0.0767533490937743"
"GCF_000385565.1","Archaeoglobus_sulfaticallidus_PM70-1","0.444772740136979","0.407129263651004","0.0376434764859745","0.00131511149107394","0.00614844093104966","0.0597632246926789","4","-0.0597632246926789"
"GCF_000151105.2","Thermococcus_barophilus_MP","0.419669148056245","0.391666666666668","0.0280024813895767","0.00121157711261483","-0.0107526881720431","0.0470586343166971","5","-0.0470586343166971"
"GCF_033472595.1","Methanoculleus_receptaculi","0.604753977062523","0.534124237930466","0.0706297391320573","0.00357210035455114","-0.0299884659746225","0.117359019079329","2","-0.117359019079329"
"GCF_000018305.1","Caldivirga_maquilingensis_IC-167","0.442305658381809","0.426806983194649","0.0154986751871596","0.000572380142463261","0.0807635829662252","0.0557825714181918","3","-0.0557825714181918"
"GCF_000016605.1","Metallosphaera_sedula_DSM_5348","0.476452407145476","0.426638358103328","0.0498140490421489","0.00222974613568992","-0.0158527954706297","0.0790001778461116","2","-0.0790001778461116"
"GCF_000015945.1","Staphylothermus_marinus_F1","0.363345248733989","0.343455284552845","0.0198899641811442","0.000470105003484063","0.0560975609756114","0.039297027688776","2","0.039297027688776"
"GCF_000016125.1","Methanococcus_maripaludis_C5","0.339599789362823","0.310392156862745","0.029207632500078","0.00192558744119462","0.0133689839572198","0.0658029979189738","3","-0.0658029979189738"
"GCF_000017165.1","Methanococcus_vannielii_SB","0.323352527191299","0.296057971014492","0.0272945561768073","0.0017102772989705","0.019710144927536","0.0644153291236672","3","-0.0644153291236672"
"GCF_000281695.1","Natrinema_sp._J7-2","0.651433418150975","0.613790658512809","0.0376427596381667","0.00220103418364639","-0.040414783302315","0.0967936946731743","2","-0.0967936946731743"
"GCF_000015765.1","Methanocorpusculum_labreanum_Z","0.519251193116892","0.444075304540421","0.0751758885764708","0.00355431189051475","-0.00535252860834223","0.122979506147529","4","-0.122979506147529"
"GCF_000015805.1","Pyrobaculum_calidifontis_JCM_11548","0.584351713859911","0.534960422163588","0.0493912916963225","0.00250083860007629","0.0112870126062741","0.0855243904943285","5","-0.0855243904943285"
"GCF_000015145.1","Hyperthermus_butylicus_DSM_5456","0.540394334116307","0.542366197183097","-0.00197186306679009","-0.000356614652877288","0.0535211267605626","0.067680783254582","2","0.067680783254582"
"GCF_000022205.1","Halorubrum_lacusprofundi_ATCC_49239","0.656518151815181","0.617209045780478","0.0393091060347037","0.00235926986367327","-0.0272108843537443","0.0989708085535499","2","-0.0989708085535499"
"GCF_000017185.1","Methanococcus_aeolicus_Nankai-3","0.319043077412176","0.270253718285213","0.0487893591269626","0.002333362348995","0.031277340332458","0.0900404527402607","3","-0.0900404527402607"
"GCF_000022485.1","Sulfolobus_islandicus_Y.N.15.51","0.359141874114552","0.345421360033376","0.0137205140811753","0.00054277657914257","0.0140801001251567","0.0316491749072061","5","-0.0316491749072061"
"GCF_000016525.1","Methanobrevibacter_smithii_ATCC_35061","0.3290827275874","0.271581920903953","0.057500806683447","0.00260339140141145","0.0267419962335213","0.0997041965139557","3","-0.0997041965139557"
"GCF_000024305.1","Sulfolobus_islandicus_L.D.8.5","0.358268048184652","0.34428759028234","0.0139804579023115","0.00055871383512686","0.00853578463558585","0.0308441042144141","5","-0.0308441042144141"
"GCF_000022445.1","Sulfolobus_islandicus_M.16.4","0.356785617734523","0.337497034400952","0.0192885833335709","0.000762036652239563","0.00415183867141139","0.0354333045672603","6","-0.0354333045672603"
"GCF_000022405.1","Sulfolobus_islandicus_M.14.25","0.357819589004537","0.340683700851712","0.0171358881528246","0.00072663575692529","0.00408353751020862","0.0374369032035775","5","-0.0374369032035775"
"GCF_000022425.1","Sulfolobus_islandicus_M.16.27","0.357355946944988","0.339889579020017","0.0174663679249711","0.000735909621059966","0.00460087416609062","0.0389754546514493","5","-0.0389754546514493"
"GCF_000022385.1","Sulfolobus_islandicus_L.S.2.15","0.356525438148715","0.342651739655364","0.013873698493351","0.000536146945888325","0.00669520360004211","0.0259360407170363","5","-0.0259360407170363"
"GCF_000018465.1","Nitrosopumilus_maritimus_SCM1","0.346003660768761","0.327411255411255","0.0185924053575062","0.000925203844766145","0.0585281385281406","0.0514582062233083","3","-0.0514582062233083"
"GCF_000022465.1","Sulfolobus_islandicus_Y.G.57.14","0.359424756034926","0.344407196334789","0.0150175597001367","0.000540014550276418","0.0132975751480608","0.0317903834793298","5","-0.0317903834793298"
"GCF_000025665.1","Aciduliprofundum_boonei_T469","0.395340248310545","0.37206800086077","0.0232722474497753","0.00124939400223118","-0.0148482892188521","0.0478042035504857","4","-0.0478042035504857"
"GCF_000019805.1","Pyrobaculum_neutrophilum_V24Sta","0.612121765601218","0.568332508659079","0.043789256942139","0.0020590141533409","0.00379350156688141","0.0749289567607115","5","-0.0749289567607115"
"GCF_000017945.1","Ignicoccus_hospitalis_KIN4/I","0.567092092092092","0.555638249887234","0.0114538422048583","0.000388601370590088","-0.0207487595850248","0.0201818530302984","9","-0.0201818530302984"
"GCF_000017625.1","Methanoregula_boonei_6A8","0.560995010127958","0.506144208983074","0.0548508011448845","0.00278171759457225","-0.0107956817273091","0.0841190938278112","2","-0.0841190938278112"
"GCF_000172995.2","Halogeometricum_borinquense_DSM_11551","0.613282799206806","0.586408934707906","0.0268738644989002","0.00177985345204858","-0.0260309278350537","0.0769425930212376","2","-0.0769425930212376"
"GCF_000069025.1","Halobacterium_salinarum_R1","0.671246923707957","0.629136604136608","0.042110319571349","0.002135111659198","-0.0299422799422832","0.089837592298625","2","-0.089837592298625"
