Accession,Species,Core_GC3,codon_2,codon_3,codon_4,codon_5,codon_6,codon_7,codon_8,codon_9,codon_10,codon_11,codon_12,codon_13,codon_14,codon_15,codon_16,codon_17,codon_18,codon_19,codon_20,codon_21,codon_22,codon_23,codon_24,codon_25,codon_26,codon_27,codon_28,codon_29
GCF_019175305.1,Saccharolobus shibatae,0.318100629,0.294175716,0.348469891,0.286936492,0.270483712,0.292201382,0.314248108,0.318525831,0.319183942,0.322145443,0.315893386,0.311615663,0.311944719,0.307008885,0.312931885,0.296479105,0.307008885,0.306350773,0.318196775,0.30437644,0.315235275,0.310628496,0.317209608,0.323790721,0.319842053,0.308325107,0.31260283,0.309312274,0.328176432
GCF_900079115.1,Saccharolobus solfataricus,0.32973638,0.28372093,0.340465116,0.303255814,0.301395349,0.293023256,0.316589147,0.322790698,0.332403101,0.323410853,0.311937984,0.325271318,0.319379845,0.328682171,0.308217054,0.311007752,0.314418605,0.308217054,0.31875969,0.312248062,0.336124031,0.311627907,0.315968992,0.32620155,0.328682171,0.31379845,0.326511628,0.308312655,0.309028855
GCF_902384015.1,Methanosphaera stadtmanae,0.132179034,0.104180064,0.128617363,0.117684887,0.12926045,0.10096463,0.108681672,0.115755627,0.117041801,0.134405145,0.133118971,0.108681672,0.140836013,0.117041801,0.140192926,0.124115756,0.127974277,0.150482315,0.128617363,0.11318328,0.118971061,0.123472669,0.123472669,0.120257235,0.117041801,0.133762058,0.122829582,0.120900322,0.109967846
GCF_000275865.1,Methanofollis liminatans DSM 4140,0.815542388,0.546983997,0.589659417,0.571194091,0.618793599,0.637258925,0.667213787,0.684448092,0.694706606,0.702092737,0.728354534,0.732868281,0.731226918,0.76733689,0.756668034,0.752564629,0.773081658,0.762412803,0.754205991,0.76272578,0.75410509,0.761494253,0.764778325,0.763546798,0.76683087,0.77545156,0.768062397,0.782430213,0.777504105
GCF_002355655.1,Halorubrum trapanicum,0.916451969,0.685628743,0.739853626,0.74251497,0.78908849,0.838323353,0.840319361,0.864936793,0.863273453,0.870924817,0.873253493,0.872920825,0.888223553,0.875582169,0.886227545,0.878576181,0.883566201,0.897538257,0.885894877,0.891550233,0.884896873,0.894876913,0.898203593,0.896872921,0.894876913,0.892880905,0.905189621,0.910179641,0.89484193
GCF_024662215.1,Methanoplanus endosymbiosus,0.421365142,0.286461968,0.284019539,0.281926029,0.317515701,0.338101884,0.363572924,0.364619679,0.370900209,0.369853454,0.393579902,0.393928821,0.401953943,0.389043964,0.414166085,0.394626657,0.414515003,0.413817167,0.403698535,0.397418004,0.416259595,0.399860433,0.399860433,0.402651779,0.396022331,0.39965096,0.396160558,0.403839442,0.384293194
GCF_014969745.1,Haloferax gibbonsii,0.879907903,0.612690355,0.701522843,0.682233503,0.71319797,0.768781726,0.763451777,0.799746193,0.80964467,0.795685279,0.806091371,0.81751269,0.820050761,0.824873096,0.827664975,0.824619289,0.825634518,0.841116751,0.837309645,0.846192893,0.832741117,0.844416244,0.85,0.850977405,0.847677075,0.848184818,0.854785479,0.849961919,0.864178726
GCF_003052125.1,Methanococcus maripaludis,0.249497386,0.198689956,0.221069869,0.231441048,0.238537118,0.227074236,0.23580786,0.28930131,0.259825328,0.253275109,0.299672489,0.269104803,0.255458515,0.274017467,0.245633188,0.267467249,0.262008734,0.271982523,0.244128891,0.260513381,0.268159476,0.263790279,0.252321136,0.274167122,0.269251775,0.238121245,0.247951939,0.240305844,0.253413435
GCF_019669925.1,Methanobrevibacter arboriphilus,0.14013567,0.118083004,0.129940711,0.131916996,0.130434783,0.12944664,0.136363636,0.162549407,0.149209486,0.137351779,0.173913043,0.143280632,0.144268775,0.148715415,0.158102767,0.133893281,0.154150198,0.154150198,0.171442688,0.134387352,0.154150198,0.165019763,0.147727273,0.154644269,0.159090909,0.146245059,0.143774704,0.151679842,0.151679842
GCF_002761295.1,Methanohalophilus portucalensis,0.400828048,0.266098485,0.29782197,0.307291667,0.312973485,0.309659091,0.338068182,0.354166667,0.369791667,0.363636364,0.378787879,0.392518939,0.385890152,0.396306818,0.404356061,0.40530303,0.413825758,0.38967803,0.413352273,0.404829545,0.386837121,0.395073425,0.400757935,0.400284225,0.409284699,0.390810043,0.411179536,0.40521327,0.395260664
GCF_003201835.2,Acidianus brierleyi,0.2293005,0.248101266,0.280696203,0.226582278,0.233860759,0.234177215,0.238924051,0.249050633,0.234810127,0.235126582,0.248734177,0.231962025,0.247468354,0.243670886,0.237341772,0.218670886,0.229746835,0.236392405,0.231962025,0.225949367,0.24335443,0.221202532,0.240822785,0.238607595,0.237341772,0.228797468,0.235126582,0.233227848,0.238924051
GCF_009729035.1,Stygiolobus azoricus,0.356242424,0.311947931,0.335657834,0.30125523,0.309623431,0.339841934,0.314272431,0.324500232,0.316596932,0.309623431,0.343096234,0.326824733,0.329149233,0.334263133,0.327289633,0.332403533,0.332403533,0.32,0.347906977,0.322790698,0.338604651,0.355813953,0.32759423,0.340158213,0.357375523,0.337366217,0.342484877,0.337366217,0.348534202
GCF_025449255.1,Methanococcus aeolicus,0.224312134,0.16883923,0.161390441,0.174425822,0.16883923,0.176908752,0.183116077,0.222222222,0.203600248,0.215394165,0.21663563,0.208566108,0.215394165,0.21166977,0.226567349,0.222222222,0.211049038,0.231533209,0.238981999,0.206703911,0.217256363,0.234016139,0.22408442,0.240844196,0.222842955,0.210428305,0.21166977,0.212911235,0.219739292
GCF_028472005.1,Sulfolobus islandicus,0.308418035,0.272195458,0.331039229,0.289401239,0.27047488,0.286992429,0.300068823,0.319339298,0.324156917,0.293874742,0.305918789,0.292842395,0.301445286,0.311768754,0.309704061,0.29008947,0.306262904,0.295939436,0.305230557,0.283207158,0.298348245,0.287680661,0.309704061,0.305679862,0.296041308,0.307745267,0.305096419,0.307268343,0.313232254
GCF_023169565.1,Metallosphaera sedula,0.547519026,0.405714286,0.435510204,0.403673469,0.432244898,0.455510204,0.460816327,0.457142857,0.468163265,0.482857143,0.510204082,0.502040816,0.485306122,0.504489796,0.486938776,0.50244898,0.520408163,0.513061224,0.523673469,0.502857143,0.511428571,0.506530612,0.530612245,0.519591837,0.522857143,0.531020408,0.534285714,0.533061224,0.511020408
GCF_005222525.1,Metallosphaera prunae,0.545831378,0.406263225,0.438002539,0.406263225,0.434193821,0.459162082,0.456199746,0.460854846,0.457469319,0.481168007,0.505289886,0.495133305,0.489631824,0.499788405,0.482437579,0.509944985,0.528565383,0.50740584,0.517562421,0.511214558,0.512060939,0.503597122,0.528988574,0.520101566,0.520524757,0.533643673,0.539568345,0.532374101,0.523910284
GCF_002214585.1,Thermococcus profundus,0.69116941,0.653828088,0.636449037,0.585720996,0.594175669,0.593236261,0.6092062,0.630812588,0.624706435,0.638327853,0.621418506,0.64255519,0.667919211,0.653828088,0.651009864,0.664631282,0.664631282,0.666510099,0.677782997,0.679192109,0.684358854,0.668858619,0.66322217,0.667449507,0.672616252,0.669172932,0.666823308,0.666353383,0.659304511
GCF_001592435.1,Thermococcus peptonophilus,0.654820789,0.639376218,0.627192982,0.579434698,0.582358674,0.573586745,0.575048733,0.574561404,0.610623782,0.617446394,0.623294347,0.619395712,0.614035088,0.633528265,0.625243665,0.637426901,0.632066277,0.626705653,0.643762183,0.630116959,0.632066277,0.624269006,0.6291423,0.630116959,0.626218324,0.64668616,0.645711501,0.631091618,0.619883041
GCF_002214465.1,Thermococcus barossii,0.728910291,0.63627451,0.662254902,0.604411765,0.640196078,0.616176471,0.630392157,0.654411765,0.647058824,0.650980392,0.658823529,0.674019608,0.689215686,0.681862745,0.683823529,0.680882353,0.700980392,0.688235294,0.703921569,0.701470588,0.692156863,0.692647059,0.689215686,0.684313725,0.691176471,0.693137255,0.699509804,0.68872549,0.68872549
GCF_014962245.1,Thermosphaera aggregans,0.555779154,0.519774011,0.480932203,0.487288136,0.505649718,0.47740113,0.480932203,0.492937853,0.502824859,0.503531073,0.521892655,0.536016949,0.525423729,0.514830508,0.518361582,0.546610169,0.550141243,0.52259887,0.505649718,0.528954802,0.513418079,0.546610169,0.548728814,0.542372881,0.55720339,0.549435028,0.528248588,0.543785311,0.53460452
GCF_036323395.1,Pyrodictium abyssi,0.70529024,0.666945607,0.652719665,0.59916318,0.626359833,0.649790795,0.625104603,0.642677824,0.654393305,0.641422594,0.657322176,0.674895397,0.679916318,0.653138075,0.674058577,0.685774059,0.69539749,0.660669456,0.675313808,0.664016736,0.670711297,0.661506276,0.670292887,0.680334728,0.671548117,0.669874477,0.688702929,0.69623431,0.692887029
GCF_900012635.1,Thermococcus chitonophagus,0.496819666,0.523415978,0.548209366,0.455004591,0.479338843,0.455004591,0.453168044,0.467860422,0.481634527,0.479338843,0.482552801,0.469237833,0.486225895,0.466483012,0.47680294,0.476343592,0.480018374,0.481396417,0.478640331,0.465319247,0.471264368,0.488275862,0.491720331,0.486200552,0.460441582,0.481600736,0.477920883,0.475620975,0.477460902
GCF_001433455.1,Thermococcus barophilus,0.422065728,0.431342716,0.454925827,0.406238113,0.396728794,0.403575504,0.383415747,0.406618486,0.395587676,0.402434386,0.417649296,0.410422214,0.417268924,0.41536706,0.40433625,0.407379232,0.421072651,0.403575504,0.424876379,0.417649296,0.414225941,0.407759604,0.403575504,0.403195131,0.394066185,0.405477368,0.40433625,0.40433625,0.411943705
GCF_004803735.1,Halomicrobium mukohataei,0.858946899,0.59863136,0.686402856,0.691460875,0.716453436,0.767033621,0.764950907,0.782207676,0.787265695,0.783992859,0.792323713,0.798869384,0.800059506,0.803034811,0.8146385,0.811365665,0.812853317,0.81434097,0.816721214,0.823861946,0.825944659,0.82653972,0.810175543,0.830110086,0.825297619,0.824404762,0.827380952,0.836856207,0.828818101
GCF_002813695.1,Methanobacterium subterraneum,0.404852608,0.269214961,0.283189478,0.295108919,0.288121661,0.30620633,0.321824908,0.368269626,0.337854501,0.328812166,0.377722976,0.344430744,0.36539252,0.403616934,0.381011097,0.39539663,0.385532265,0.399917797,0.362515413,0.360049322,0.408549116,0.385532265,0.382244143,0.387587341,0.365131579,0.365542763,0.388157895,0.371299342,0.376233553
GCF_010692885.1,Halogeometricum borinquense,0.73059322,0.540967176,0.602355299,0.59308444,0.634928589,0.667000752,0.672012027,0.683036833,0.69681784,0.672763718,0.680781759,0.693309947,0.696066149,0.69882235,0.678025558,0.701327988,0.707592082,0.694562766,0.695314458,0.693309947,0.69080431,0.704334753,0.711601102,0.703332498,0.702831371,0.701578552,0.716361814,0.711350539,0.705086445
GCF_004799645.1,Natronorubrum bangense,0.749269623,0.526241799,0.599343955,0.587160262,0.623242737,0.65393627,0.643626992,0.67900656,0.693533271,0.682521087,0.703139644,0.696813496,0.694939082,0.694236176,0.691658857,0.708528585,0.697750703,0.705014058,0.714854733,0.708762887,0.712746017,0.729850047,0.711340206,0.710168697,0.725398313,0.718837863,0.710637301,0.720946579,0.719540769
GCF_000006805.1,Halobacterium salinarum NRC-1,0.865727107,0.585925926,0.708888889,0.698148148,0.721111111,0.757407407,0.773703704,0.777407407,0.786666667,0.802222222,0.782962963,0.802222222,0.792962963,0.791851852,0.791111111,0.798888889,0.802962963,0.82037037,0.814814815,0.824074074,0.832592593,0.848888889,0.825185185,0.818148148,0.828148148,0.827037037,0.838518519,0.844444444,0.830740741
GCF_000009965.1,Thermococcus kodakarensis KOD1,0.664890181,0.628360798,0.631830009,0.56114484,0.604943625,0.563746748,0.568516912,0.591500434,0.626626193,0.604943625,0.610147441,0.607111882,0.633564614,0.61274935,0.627059844,0.657415438,0.643972246,0.660450997,0.656114484,0.630962706,0.650043365,0.630962706,0.643538595,0.630962706,0.641370338,0.643972246,0.657415438,0.637467476,0.64180399
GCF_005890195.1,Natrinema pallidum,0.827826349,0.576800847,0.670021186,0.640360169,0.685911017,0.70842161,0.73940678,0.750264831,0.771980932,0.743908898,0.767743644,0.762711864,0.765625,0.769597458,0.764036017,0.76059322,0.780455508,0.777542373,0.78125,0.779925847,0.796610169,0.783633475,0.786811441,0.792902542,0.813294492,0.801112288,0.790198675,0.800264901,0.80127186
GCF_042851265.1,Sulfurisphaera ohwakuensis,0.240249124,0.243022464,0.278080327,0.244043567,0.22804629,0.242001361,0.260721579,0.240980259,0.261742682,0.252212389,0.254254595,0.225323349,0.238257318,0.233492172,0.24506467,0.242083759,0.228464419,0.24412666,0.231188287,0.221995233,0.258426966,0.247871978,0.222335717,0.239441417,0.242166213,0.240803815,0.251448041,0.236877982,0.225707467
GCF_000011105.1,Pyrococcus horikoshii OT3,0.427833432,0.470368393,0.473037907,0.428190069,0.421783235,0.408435665,0.373198078,0.411105179,0.415376401,0.403096636,0.39241858,0.414842499,0.42071543,0.395621997,0.419647624,0.403096636,0.412172985,0.397757608,0.415910304,0.412706887,0.40950347,0.397757608,0.422317138,0.407367859,0.419647624,0.403630539,0.389215163,0.40950347,0.398825414
GCF_002214385.1,Thermococcus gorgonarius,0.654992968,0.603671706,0.61825054,0.56587473,0.56587473,0.588552916,0.580453564,0.59287257,0.56425486,0.595572354,0.617710583,0.606911447,0.61987041,0.630669546,0.624190065,0.626349892,0.613930886,0.625809935,0.63174946,0.610151188,0.630669546,0.611771058,0.623650108,0.639848812,0.616090713,0.638768898,0.635529158,0.632289417,0.623650108
GCF_002214485.1,Thermococcus pacificus,0.726095994,0.64398977,0.656265985,0.601023018,0.62915601,0.613299233,0.617902813,0.649616368,0.621994885,0.652685422,0.654219949,0.661381074,0.689002558,0.682352941,0.687468031,0.67826087,0.683887468,0.690537084,0.715089514,0.681841432,0.700255754,0.699744246,0.692071611,0.677749361,0.682352941,0.685261003,0.708802456,0.678607984,0.698924731
GCF_002214505.1,Thermococcus siculi,0.745238095,0.666666667,0.660130719,0.617647059,0.629785247,0.657329599,0.629318394,0.659197012,0.657796452,0.672735761,0.669467787,0.683940243,0.686741363,0.713818861,0.680672269,0.68907563,0.704014939,0.732492997,0.72875817,0.716619981,0.721158337,0.739374124,0.70294255,0.714152265,0.710882765,0.704810836,0.731433909,0.708547408,0.710882765
GCF_031201105.1,Ferroplasma acidiphilum,0.356742697,0.225823592,0.246546227,0.262486716,0.262486716,0.294899044,0.297555792,0.321997875,0.325185972,0.320403826,0.348034006,0.34272051,0.32837407,0.380977683,0.333156217,0.334218916,0.363443146,0.353878852,0.348034006,0.362380446,0.363443146,0.344845909,0.346971307,0.359192349,0.348034006,0.340595112,0.32890542,0.344314559,0.349628055
GCF_000145295.1,Methanothermobacter marburgensis str. Marburg,0.559231254,0.420023015,0.430379747,0.407940161,0.416570771,0.434407365,0.442462601,0.448216341,0.456271577,0.47986191,0.49136939,0.503452244,0.501726122,0.504602992,0.510356732,0.529344074,0.51150748,0.52589183,0.543728423,0.518987342,0.516110472,0.521864212,0.494821634,0.526467204,0.515535098,0.526467204,0.532220944,0.533947066,0.531070196
GCF_900036045.1,Methanoculleus bourgensis,0.783472609,0.5732788,0.603953647,0.598159509,0.608043626,0.620654397,0.659168371,0.677232447,0.685412406,0.703817314,0.727675528,0.719836401,0.712338105,0.731424676,0.7467621,0.728698023,0.731083845,0.749147921,0.737218814,0.726559836,0.756904194,0.741473397,0.744884038,0.752728513,0.764926646,0.7465029,0.762457338,0.753242321,0.774248634
GCF_005576615.1,Natrinema versiforme,0.824164184,0.559808612,0.643975642,0.626141801,0.673553719,0.72031318,0.72553284,0.751631144,0.766420183,0.75554589,0.749238799,0.762505437,0.757503262,0.763592866,0.756633319,0.771639843,0.772509787,0.760983036,0.782296651,0.797303175,0.789473684,0.780339278,0.781161627,0.794431151,0.786599956,0.796606482,0.792038286,0.79329852,0.787159956
GCF_020844815.1,Methanothrix sp.,0.646068296,0.478278689,0.500409836,0.463934426,0.504918033,0.540983607,0.544262295,0.577459016,0.588934426,0.580737705,0.599180328,0.598360656,0.605737705,0.604508197,0.601639344,0.621311475,0.610655738,0.60942623,0.603526035,0.622386224,0.610906109,0.613366134,0.637556376,0.611726117,0.599097251,0.622486664,0.617562577,0.610997128,0.62700041
GCF_024022995.1,Thermococcus aggregans,0.455323438,0.453163315,0.460029426,0.409024031,0.405100539,0.378616969,0.418342325,0.424227563,0.431093673,0.424227563,0.414418833,0.448749387,0.445316332,0.423737126,0.428641491,0.42177538,0.433055419,0.44825895,0.418832761,0.449239823,0.443354586,0.438450221,0.432564983,0.415890142,0.446787641,0.442373713,0.418342325,0.420304071,0.455125061
GCF_001006045.1,Geoglobus ahangari,0.714296215,0.616176471,0.629411765,0.607352941,0.620588235,0.615686275,0.605882353,0.628921569,0.637745098,0.660294118,0.654411765,0.63627451,0.665196078,0.68872549,0.682843137,0.673529412,0.683333333,0.657843137,0.666993624,0.671897989,0.685630211,0.664051005,0.690534576,0.678273664,0.667974497,0.667484061,0.684649338,0.653751839,0.670917116
GCF_900095295.1,Methanobacterium congolense,0.3939635,0.28553137,0.281263338,0.303030303,0.298762271,0.296201451,0.317541613,0.321382843,0.319248826,0.342723005,0.36320956,0.320956039,0.348271447,0.366623986,0.350832266,0.344857021,0.366623986,0.36705079,0.358514725,0.353393086,0.360802733,0.356532878,0.348847139,0.371050384,0.361656704,0.351836038,0.35439795,0.364218617,0.366353544
GCF_019669965.1,Methanoculleus chikugoensis,0.827362543,0.584555985,0.611196911,0.608108108,0.642471042,0.63976834,0.686486486,0.698069498,0.716216216,0.716988417,0.730501931,0.759073359,0.752509653,0.76988417,0.762934363,0.775289575,0.783011583,0.772586873,0.77953668,0.781467181,0.781467181,0.780694981,0.772200772,0.776447876,0.801158301,0.783397683,0.784942085,0.784169884,0.776061776
GCF_031165565.1,Natrinema thermotolerans,0.851050367,0.578024417,0.684794673,0.668146504,0.698335183,0.752497225,0.773140954,0.772918979,0.800887902,0.781354051,0.787791343,0.797336293,0.789345172,0.799556049,0.783573807,0.797336293,0.804661487,0.821975583,0.814872364,0.820421754,0.805993341,0.806881243,0.811320755,0.8190899,0.822197558,0.817536071,0.83618202,0.825083241,0.826415094
GCF_002214525.1,Thermococcus sp. P6,0.725723906,0.644582043,0.634055728,0.598142415,0.639009288,0.621671827,0.623529412,0.631578947,0.640866873,0.642105263,0.66625387,0.674303406,0.693498452,0.66873065,0.678018576,0.687925697,0.695975232,0.710835913,0.690402477,0.684210526,0.720123839,0.691021672,0.708359133,0.66996904,0.698452012,0.709597523,0.695356037,0.699690402,0.707739938
GCF_017357525.1,Methanofollis aquaemaris,0.781976912,0.518081761,0.575078616,0.558962264,0.58922956,0.608097484,0.658018868,0.677672956,0.65841195,0.701257862,0.709512579,0.715801887,0.711871069,0.746069182,0.738600629,0.735455975,0.728380503,0.733097484,0.730738994,0.746462264,0.741745283,0.732704403,0.730738994,0.749606918,0.743710692,0.74331761,0.746462264,0.742823437,0.745869394
GCF_025397995.1,Methanothermobacter wolfeii,0.565526369,0.396842678,0.430593359,0.422427872,0.420794774,0.42133914,0.418072945,0.449646162,0.453456723,0.469243332,0.513336962,0.50190528,0.48502994,0.509526402,0.501360915,0.507893304,0.494008715,0.533769063,0.537581699,0.510626703,0.534604905,0.507356948,0.529155313,0.530790191,0.540054496,0.542234332,0.534604905,0.532425068,0.519891008
GCF_027555045.1,Methanothermobacter thermautotrophicus,0.582851406,0.400547945,0.401643836,0.413150685,0.424657534,0.432876712,0.436164384,0.430136986,0.479452055,0.490410959,0.523287671,0.506849315,0.498630137,0.527123288,0.515616438,0.545205479,0.522191781,0.544109589,0.54630137,0.536438356,0.545753425,0.549589041,0.536438356,0.545205479,0.535890411,0.545753425,0.540273973,0.544109589,0.544657534
GCF_027555065.1,Methanothermobacter marburgensis,0.558963056,0.42093157,0.432432432,0.41000575,0.414606095,0.431857389,0.44853364,0.446233468,0.453133985,0.475560667,0.49626222,0.499137435,0.501437608,0.510638298,0.508913168,0.529039678,0.506037953,0.524439333,0.542840713,0.52213916,0.515813686,0.52213916,0.495687177,0.526739505,0.513513514,0.530189764,0.526164462,0.535940196,0.527889592
GCF_000265525.1,Thermococcus cleftensis,0.755525942,0.66344761,0.676001931,0.631578947,0.671173346,0.658619025,0.63737325,0.6798648,0.684210526,0.689039112,0.69290198,0.711250604,0.71559633,0.706422018,0.707387735,0.723804925,0.732979237,0.719459198,0.729116369,0.739256398,0.726702076,0.731530662,0.719459198,0.722839208,0.740704973,0.728150652,0.73539353,0.749879285,0.732979237
GCF_963665055.1,uncultured Methanobacterium sp.,0.37628157,0.267366994,0.254151135,0.287699085,0.285665876,0.288037953,0.311080989,0.346662148,0.335479498,0.315825144,0.35377838,0.348356489,0.325991189,0.362927821,0.364622162,0.368813559,0.362711864,0.359661017,0.337627119,0.353220339,0.363728814,0.355254237,0.337288136,0.361694915,0.359661017,0.342372881,0.361694915,0.360338983,0.358305085
GCF_963667985.1,uncultured Methanocorpusculum sp.,0.578895464,0.383554377,0.393103448,0.414323607,0.428116711,0.45994695,0.472679045,0.499204244,0.492838196,0.542175066,0.543766578,0.529442971,0.543766578,0.516710875,0.545888594,0.534748011,0.523607427,0.566578249,0.544297082,0.528912467,0.535809019,0.532625995,0.532095491,0.544827586,0.534217507,0.539278132,0.534501062,0.552016985,0.560509554
GCF_000007225.1,Pyrobaculum aerophilum str. IM2,0.601750449,0.521638331,0.505023184,0.504636785,0.501931994,0.539412674,0.526661515,0.571483771,0.570710974,0.586553323,0.578825348,0.579598145,0.586553323,0.590030912,0.580757342,0.594124468,0.577116351,0.579822188,0.588553751,0.572312452,0.576566125,0.584686775,0.590873937,0.576179428,0.605955143,0.605568445,0.597061098,0.579659706,0.586620263
GCF_022870485.1,Halococcus dombrowskii,0.787213579,0.609414121,0.668502754,0.649974962,0.683775663,0.7110666,0.726089134,0.75112669,0.759138708,0.740610916,0.745868803,0.750125188,0.76014021,0.763895844,0.760640961,0.764396595,0.77090636,0.77315974,0.775162744,0.776108189,0.770848986,0.766341097,0.772852492,0.771850739,0.771099424,0.776108189,0.785624843,0.789882294,0.782118708
GCF_963678545.1,uncultured Methanomethylovorans sp.,0.368078292,0.295320731,0.313603967,0.299039355,0.300898667,0.32599938,0.312674311,0.322900527,0.336845367,0.338084909,0.363495507,0.344902386,0.350170437,0.377130462,0.370003099,0.376200806,0.386736907,0.368453672,0.381778742,0.385497366,0.386427022,0.376627402,0.380037198,0.376627402,0.372597644,0.356788593,0.366315136,0.36662531,0.37251861
GCF_000007305.1,Pyrococcus furiosus DSM 3638,0.387027218,0.434343434,0.427128427,0.381433381,0.403078403,0.353535354,0.34968735,0.368446368,0.371813372,0.377585378,0.362193362,0.364598365,0.392977393,0.362674363,0.358826359,0.371813372,0.386724387,0.385281385,0.394901395,0.375180375,0.376142376,0.38047138,0.372775373,0.386724387,0.386243386,0.392685274,0.359961501,0.367661213,0.384985563
GCF_000008645.1,Methanothermobacter thermautotrophicus str. Delta H,0.583253589,0.418328841,0.421024259,0.428032345,0.432884097,0.440431267,0.441509434,0.438274933,0.485714286,0.500269542,0.524528302,0.501886792,0.510512129,0.521832884,0.516442049,0.541239892,0.532614555,0.548787062,0.552021563,0.545013477,0.542318059,0.55309973,0.541239892,0.549083064,0.53613808,0.555016181,0.550161812,0.541531823,0.543149946
GCF_002214565.1,Thermococcus radiotolerans,0.757767077,0.646153846,0.65955335,0.596029777,0.652605459,0.622332506,0.632258065,0.646153846,0.637220844,0.677915633,0.6808933,0.693796526,0.702233251,0.705210918,0.698759305,0.708684864,0.719602978,0.697766749,0.719602978,0.710669975,0.706699752,0.698263027,0.706699752,0.704218362,0.710669975,0.705707196,0.720595533,0.709677419,0.706203474
